"","Index","Variant","country","Location code","iso3","iso2","Type","Parent code","year","totalpop_jan","totalpop_jul","m49code_"
"388",6961,"Medium","Mauritania",478,NA,NA,"Country/Area",914,2050,"9327.872","9415.598","478"
"389",7038,"Medium","Niger",562,NA,NA,"Country/Area",914,2050,"51997.967","52513.876","562"
"390",7115,"Medium","Nigeria",566,NA,NA,"Country/Area",914,2050,"357001.017","359185.556","566"
"391",7192,"Medium","Saint Helena",654,NA,NA,"Country/Area",914,2050,"3.993","3.968","654"
"392",7269,"Medium","Senegal",686,NA,NA,"Country/Area",914,2050,"30138.098","30364.954","686"
"393",7346,"Medium","Sierra Leone",694,NA,NA,"Country/Area",914,2050,"12875.949","12948.325","694"
"394",7423,"Medium","Togo",768,NA,NA,"Country/Area",914,2050,"15463.023","15584.778","768"
"395",7500,"Medium","Asia",935,NA,NA,"Region",1840,2050,"5278097.102","5280378.401","935"
"396",7577,"Medium","Central Asia",5500,NA,NA,"Subregion",935,2050,"113048.271","113612.322","5500"
"397",7654,"Medium","Kazakhstan",398,NA,NA,"Country/Area",5500,2050,"26436.975","26544.265","398"
"398",7731,"Medium","Kyrgyzstan",417,NA,NA,"Country/Area",5500,2050,"9602.753","9642.952","417"
"399",7808,"Medium","Tajikistan",762,NA,NA,"Country/Area",5500,2050,"15492.103","15574.642","762"
"400",7885,"Medium","Turkmenistan",795,NA,NA,"Country/Area",5500,2050,"9611.198","9639.708","795"
"401",7962,"Medium","Uzbekistan",860,NA,NA,"Country/Area",5500,2050,"51905.242","52210.755","860"
"402",8039,"Medium","Eastern Asia",906,NA,NA,"Subregion",935,2050,"1472940.284","1467038.093","906"
"403",8116,"Medium","China",156,NA,NA,"Country/Area",906,2050,"1265452.312","1260289.093","156"
"404",8193,"Medium","China, Hong Kong SAR",344,NA,NA,"Country/Area",906,2050,"6130.903","6090.619","344"
"405",8270,"Medium","China, Macao SAR",446,NA,NA,"Country/Area",906,2050,"670.881","668.86","446"
"406",8347,"Medium","China, Taiwan Province of China",158,NA,NA,"Country/Area",906,2050,"19535.308","19434.6","158"
"407",8424,"Medium","Dem. People's Republic of Korea",408,NA,NA,"Country/Area",906,2050,"25834.076","25787.127","408"
"408",8501,"Medium","Japan",392,NA,NA,"Country/Area",906,2050,"105458.719","105123.167","392"
"409",8578,"Medium","Mongolia",496,NA,NA,"Country/Area",906,2050,"4484.156","4501.493","496"
"410",8655,"Medium","Republic of Korea",410,NA,NA,"Country/Area",906,2050,"45373.929","45143.134","410"
"411",8732,"Medium","Southern Asia",5501,NA,NA,"Subregion",935,2050,"2500385.216","2505837.296","5501"
"412",8809,"Medium","Afghanistan",4,NA,NA,"Country/Area",5501,2050,"76238.717","76885.135","004"
"413",8886,"Medium","Bangladesh",50,NA,NA,"Country/Area",5501,2050,"214180.172","214709.097","050"
"414",8963,"Medium","Bhutan",64,NA,NA,"Country/Area",5501,2050,"881.833","882.34","064"
"415",9040,"Medium","India",356,NA,NA,"Country/Area",5501,2050,"1677686.95","1679589.259","356"
"416",9117,"Medium","Iran (Islamic Republic of)",364,NA,NA,"Country/Area",5501,2050,"101812.773","101861.993","364"
"417",9194,"Medium","Maldives",462,NA,NA,"Country/Area",5501,2050,"589.054","589.962","462"
"418",9271,"Medium","Nepal",524,NA,NA,"Country/Area",5501,2050,"34572.943","34642.027","524"
"419",9348,"Medium","Pakistan",586,NA,NA,"Country/Area",5501,2050,"369610.589","371863.793","586"
"420",9425,"Medium","Sri Lanka",144,NA,NA,"Country/Area",5501,2050,"24812.185","24813.69","144"
"421",9502,"Medium","South-Eastern Asia",920,NA,NA,"Subregion",935,2050,"774212.226","774570.267","920"
"422",9579,"Medium","Brunei Darussalam",96,NA,NA,"Country/Area",920,2050,"519.157","519.551","096"
"423",9656,"Medium","Cambodia",116,NA,NA,"Country/Area",920,2050,"21873.714","21931.455","116"
"424",9733,"Medium","Indonesia",360,NA,NA,"Country/Area",920,2050,"320462.393","320712.949","360"
"425",9810,"Medium","Lao People's Democratic Republic",418,NA,NA,"Country/Area",920,2050,"9733.998","9757.285","418"
"426",9887,"Medium","Malaysia",458,NA,NA,"Country/Area",920,2050,"44178.897","44289.772","458"
"427",9964,"Medium","Myanmar",104,NA,NA,"Country/Area",920,2050,"58630.433","58623.232","104"
"428",10041,"Medium","Philippines",608,NA,NA,"Country/Area",920,2050,"134243.619","134373.439","608"
"429",10118,"Medium","Singapore",702,NA,NA,"Country/Area",920,2050,"6090.563","6081.691","702"
"430",10195,"Medium","Thailand",764,NA,NA,"Country/Area",920,2050,"66577.96","66382.735","764"
"431",10272,"Medium","Timor-Leste",626,NA,NA,"Country/Area",920,2050,"1880.897","1889.249","626"
"432",10349,"Medium","Viet Nam",704,NA,NA,"Country/Area",920,2050,"110020.595","110008.908","704"
"433",10426,"Medium","Western Asia",922,NA,NA,"Subregion",935,2050,"417511.105","419320.422","922"
"434",10503,"Medium","Armenia",51,NA,NA,"Country/Area",922,2050,"2503.559","2495.207","051"
"435",10580,"Medium","Azerbaijan",31,NA,NA,"Country/Area",922,2050,"11224.531","11224.923","031"
"436",10657,"Medium","Bahrain",48,NA,NA,"Country/Area",922,2050,"2130.243","2139.465","048"
"437",10734,"Medium","Cyprus",196,NA,NA,"Country/Area",922,2050,"1507.913","1508.482","196"
"438",10811,"Medium","Georgia",268,NA,NA,"Country/Area",922,2050,"3668.43","3664.014","268"
"439",10888,"Medium","Iraq",368,NA,NA,"Country/Area",922,2050,"71476.409","71928.75","368"
"440",10965,"Medium","Israel",376,NA,NA,"Country/Area",922,2050,"13016.424","13092.722","376"
"441",11042,"Medium","Jordan",400,NA,NA,"Country/Area",922,2050,"16282.67","16367.354","400"
"442",11119,"Medium","Kuwait",414,NA,NA,"Country/Area",922,2050,"6340.996","6367.756","414"
"443",11196,"Medium","Lebanon",422,NA,NA,"Country/Area",922,2050,"6986.186","6999.26","422"
"444",11273,"Medium","Oman",512,NA,NA,"Country/Area",922,2050,"7780.512","7827.002","512"
"445",11350,"Medium","Qatar",634,NA,NA,"Country/Area",922,2050,"4140.482","4164.461","634"
"446",11427,"Medium","Saudi Arabia",682,NA,NA,"Country/Area",922,2050,"47441.7","47693.91","682"
"447",11504,"Medium","State of Palestine",275,NA,NA,"Country/Area",922,2050,"8397.46","8451.891","275"
"448",11581,"Medium","Syrian Arab Republic",760,NA,NA,"Country/Area",922,2050,"37634.934","37793.372","760"
"449",11658,"Medium","Türkiye",792,NA,NA,"Country/Area",922,2050,"91311.298","91258.061","792"
"450",11735,"Medium","United Arab Emirates",784,NA,NA,"Country/Area",922,2050,"15279.41","15367.392","784"
"451",11812,"Medium","Yemen",887,NA,NA,"Country/Area",922,2050,"70387.948","70976.403","887"
"452",11889,"Medium","Europe",908,NA,NA,"Region",1840,2050,"704160.178","703027.759","908"
"453",11966,"Medium","Eastern Europe",923,NA,NA,"Subregion",908,2050,"256253.038","255659.22","923"
"454",12043,"Medium","Belarus",112,NA,NA,"Country/Area",923,2050,"7485.739","7453.546","112"
"455",12120,"Medium","Bulgaria",100,NA,NA,"Country/Area",923,2050,"5426.371","5402.217","100"
"456",12197,"Medium","Czechia",203,NA,NA,"Country/Area",923,2050,"9840.449","9825.543","203"
"457",12274,"Medium","Hungary",348,NA,NA,"Country/Area",923,2050,"8741.023","8725.347","348"
"458",12351,"Medium","Poland",616,NA,NA,"Country/Area",923,2050,"32939.44","32814.096","616"
"459",12428,"Medium","Republic of Moldova",498,NA,NA,"Country/Area",923,2050,"2361.942","2351.809","498"
"460",12505,"Medium","Romania",642,NA,NA,"Country/Area",923,2050,"16086.598","16027.266","642"
"461",12582,"Medium","Russian Federation",643,NA,NA,"Country/Area",923,2050,"136256.184","136132.775","643"
"462",12659,"Medium","Slovakia",703,NA,NA,"Country/Area",923,2050,"4949.954","4936.488","703"
"463",12736,"Medium","Ukraine",804,NA,NA,"Country/Area",923,2050,"32165.338","31990.132","804"
"464",12813,"Medium","Northern Europe",924,NA,NA,"Subregion",908,2050,"115808.526","115849.083","924"
"465",12890,"Medium","Denmark",208,NA,NA,"Country/Area",924,2050,"6126.448","6124.838","208"
"466",12967,"Medium","Estonia",233,NA,NA,"Country/Area",924,2050,"1177.624","1174.267","233"
"467",13044,"Medium","Faroe Islands",234,NA,NA,"Country/Area",924,2050,"62.947","63.035","234"
"468",13121,"Medium","Finland",246,NA,NA,"Country/Area",924,2050,"5358.74","5351.645","246"
"469",13198,"Medium","Guernsey",831,NA,NA,"Country/Area",924,2050,"62.907","62.8","831"
"470",13275,"Medium","Iceland",352,NA,NA,"Country/Area",924,2050,"433.016","432.993","352"
"471",13352,"Medium","Ireland",372,NA,NA,"Country/Area",924,2050,"5967.553","5970.042","372"
"472",13429,"Medium","Isle of Man",833,NA,NA,"Country/Area",924,2050,"78.192","77.971","833"
"473",13506,"Medium","Jersey",832,NA,NA,"Country/Area",924,2050,"104.838","104.766","832"
"474",13583,"Medium","Latvia",428,NA,NA,"Country/Area",924,2050,"1520.223","1513.81","428"
"475",13660,"Medium","Lithuania",440,NA,NA,"Country/Area",924,2050,"2270.467","2258.774","440"
"476",13737,"Medium","Norway",578,NA,NA,"Country/Area",924,2050,"5899.639","5899.829","578"
"477",13814,"Medium","Sweden",752,NA,NA,"Country/Area",924,2050,"11300.115","11309.63","752"
"478",13891,"Medium","United Kingdom",826,NA,NA,"Country/Area",924,2050,"75445.817","75504.681","826"
"479",13968,"Medium","Southern Europe",925,NA,NA,"Subregion",908,2050,"135659.252","135237.636","925"
"480",14045,"Medium","Albania",8,NA,NA,"Country/Area",925,2050,"2251.369","2240.166","008"
"481",14122,"Medium","Andorra",20,NA,NA,"Country/Area",925,2050,"82.414","82.195","020"
"482",14199,"Medium","Bosnia and Herzegovina",70,NA,NA,"Country/Area",925,2050,"2469.311","2455.167","070"
"483",14276,"Medium","Croatia",191,NA,NA,"Country/Area",925,2050,"3247.185","3234.16","191"
"484",14353,"Medium","Gibraltar",292,NA,NA,"Country/Area",925,2050,"49.737","49.798","292"
"485",14430,"Medium","Greece",300,NA,NA,"Country/Area",925,2050,"8838.461","8812.069","300"
"486",14507,"Medium","Holy See",336,NA,NA,"Country/Area",925,2050,"0.707","0.714","336"
"487",14584,"Medium","Italy",380,NA,NA,"Country/Area",925,2050,"52085.96","51891.099","380"
"488",14661,"Medium","Kosovo (under UNSC res. 1244)",412,NA,NA,"Country/Area",925,2050,"1646.613","1643.619","412"
"489",14738,"Medium","Malta",470,NA,NA,"Country/Area",925,2050,"536.717","535.721","470"
"490",14815,"Medium","Montenegro",499,NA,NA,"Country/Area",925,2050,"535.419","533.295","499"
"491",14892,"Medium","North Macedonia",807,NA,NA,"Country/Area",925,2050,"1519.251","1512.688","807"
"492",14969,"Medium","Portugal",620,NA,NA,"Country/Area",925,2050,"9788.033","9770.271","620"
"493",15046,"Medium","San Marino",674,NA,NA,"Country/Area",925,2050,"33.712","33.696","674"
"494",15123,"Medium","Serbia",688,NA,NA,"Country/Area",925,2050,"5554.308","5532.87","688"
"495",15200,"Medium","Slovenia",705,NA,NA,"Country/Area",925,2050,"1985.456","1981.553","705"
"496",15277,"Medium","Spain",724,NA,NA,"Country/Area",925,2050,"45034.599","44928.558","724"
"497",15354,"Medium","Western Europe",926,NA,NA,"Subregion",908,2050,"196439.362","196281.82","926"
"498",15431,"Medium","Austria",40,NA,NA,"Country/Area",926,2050,"8738.136","8724.332","040"
"499",15508,"Medium","Belgium",56,NA,NA,"Country/Area",926,2050,"11876.181","11870.906","056"
"500",15585,"Medium","France",250,NA,NA,"Country/Area",926,2050,"68226.879","68219.675","250"
"501",15662,"Medium","Germany",276,NA,NA,"Country/Area",926,2050,"78417.032","78294.613","276"
"502",15739,"Medium","Liechtenstein",438,NA,NA,"Country/Area",926,2050,"43.006","43.013","438"
"503",15816,"Medium","Luxembourg",442,NA,NA,"Country/Area",926,2050,"790.578","791.464","442"
"504",15893,"Medium","Monaco",492,NA,NA,"Country/Area",926,2050,"36.716","36.757","492"
"505",15970,"Medium","Netherlands",528,NA,NA,"Country/Area",926,2050,"18969.162","18958.475","528"
"506",16047,"Medium","Switzerland",756,NA,NA,"Country/Area",926,2050,"9341.672","9342.586","756"
"507",16125,"Medium","Latin America and the Caribbean",904,NA,NA,"Region",1840,2050,"729815.97","730056.747","904"
"508",16202,"Medium","Caribbean",915,NA,NA,"Subregion",904,2050,"46020.35","45997.117","915"
"509",16279,"Medium","Anguilla",660,NA,NA,"Country/Area",915,2050,"14.592","14.552","660"
"510",16356,"Medium","Antigua and Barbuda",28,NA,NA,"Country/Area",915,2050,"95.225","95.055","028"
"511",16433,"Medium","Aruba",533,NA,NA,"Country/Area",915,2050,"100.284","100.002","533"
"512",16510,"Medium","Bahamas",44,NA,NA,"Country/Area",915,2050,"424.277","424.265","044"
"513",16587,"Medium","Barbados",52,NA,NA,"Country/Area",915,2050,"264.882","264.216","052"
"514",16664,"Medium","Bonaire, Sint Eustatius and Saba",535,NA,NA,"Country/Area",915,2050,"34.765","34.742","535"
"515",16741,"Medium","British Virgin Islands",92,NA,NA,"Country/Area",915,2050,"40.433","40.34","092"
"516",16818,"Medium","Cayman Islands",136,NA,NA,"Country/Area",915,2050,"103.508","103.959","136"
"517",16895,"Medium","Cuba",192,NA,NA,"Country/Area",915,2050,"9423.308","9381.999","192"
"518",16972,"Medium","Curaçao",531,NA,NA,"Country/Area",915,2050,"173.895","173.498","531"
"519",17049,"Medium","Dominica",212,NA,NA,"Country/Area",915,2050,"63.254","63.192","212"
"520",17126,"Medium","Dominican Republic",214,NA,NA,"Country/Area",915,2050,"12980.973","12996.293","214"
"521",17203,"Medium","Grenada",308,NA,NA,"Country/Area",915,2050,"113.454","113.243","308"
"522",17280,"Medium","Guadeloupe",312,NA,NA,"Country/Area",915,2050,"327.594","326.318","312"
"523",17357,"Medium","Haiti",332,NA,NA,"Country/Area",915,2050,"14668.218","14710.862","332"
"524",17434,"Medium","Jamaica",388,NA,NA,"Country/Area",915,2050,"2467.334","2454.94","388"
"525",17511,"Medium","Martinique",474,NA,NA,"Country/Area",915,2050,"283.402","282.07","474"
"526",17588,"Medium","Montserrat",500,NA,NA,"Country/Area",915,2050,"3.705","3.692","500"
"527",17665,"Medium","Puerto Rico",630,NA,NA,"Country/Area",915,2050,"2522.118","2503.994","630"
"528",17742,"Medium","Saint Barthélemy",652,NA,NA,"Country/Area",915,2050,"12.798","12.789","652"
"529",17819,"Medium","Saint Kitts and Nevis",659,NA,NA,"Country/Area",915,2050,"44.373","44.249","659"
"530",17896,"Medium","Saint Lucia",662,NA,NA,"Country/Area",915,2050,"172.546","172.081","662"
"531",17973,"Medium","Saint Martin (French part)",663,NA,NA,"Country/Area",915,2050,"18.798","18.795","663"
"532",18050,"Medium","Saint Vincent and the Grenadines",670,NA,NA,"Country/Area",915,2050,"89.161","88.942","670"
"533",18127,"Medium","Sint Maarten (Dutch part)",534,NA,NA,"Country/Area",915,2050,"51.005","51.017","534"
"534",18204,"Medium","Trinidad and Tobago",780,NA,NA,"Country/Area",915,2050,"1404.04","1399.8","780"
"535",18281,"Medium","Turks and Caicos Islands",796,NA,NA,"Country/Area",915,2050,"51.001","50.988","796"
"536",18358,"Medium","United States Virgin Islands",850,NA,NA,"Country/Area",915,2050,"71.407","71.225","850"
"537",18435,"Medium","Central America",916,NA,NA,"Subregion",904,2050,"215076.444","215385.141","916"
"538",18512,"Medium","Belize",84,NA,NA,"Country/Area",916,2050,"515.685","516.627","084"
"539",18589,"Medium","Costa Rica",188,NA,NA,"Country/Area",916,2050,"5358.806","5354.15","188"
"540",18666,"Medium","El Salvador",222,NA,NA,"Country/Area",916,2050,"6664.999","6663.346","222"
"541",18743,"Medium","Guatemala",320,NA,NA,"Country/Area",916,2050,"24582.441","24670.857","320"
"542",18820,"Medium","Honduras",340,NA,NA,"Country/Area",916,2050,"14785.303","14846.779","340"
"543",18897,"Medium","Mexico",484,NA,NA,"Country/Area",916,2050,"148819.664","148946.274","484"
"544",18974,"Medium","Nicaragua",558,NA,NA,"Country/Area",916,2050,"8733.084","8756.43","558"
"545",19051,"Medium","Panama",591,NA,NA,"Country/Area",916,2050,"5616.462","5630.68","591"
"546",19128,"Medium","South America",931,NA,NA,"Subregion",904,2050,"468719.176","468674.488","931"
"547",19205,"Medium","Argentina",32,NA,NA,"Country/Area",931,2050,"48311.619","48308.944","032"
"548",19282,"Medium","Bolivia (Plurinational State of)",68,NA,NA,"Country/Area",931,2050,"16057.289","16110.162","068"
"549",19359,"Medium","Brazil",76,NA,NA,"Country/Area",931,2050,"217703.593","217489.299","076"
"550",19436,"Medium","Chile",152,NA,NA,"Country/Area",931,2050,"20344.193","20320.306","152"
"551",19513,"Medium","Colombia",170,NA,NA,"Country/Area",931,2050,"59383.512","59385.357","170"
"552",19590,"Medium","Ecuador",218,NA,NA,"Country/Area",931,2050,"21305.27","21337.237","218"
"553",19667,"Medium","Falkland Islands (Malvinas)",238,NA,NA,"Country/Area",931,2050,"3.185","3.176","238"
"554",19744,"Medium","French Guiana",254,NA,NA,"Country/Area",931,2050,"468.639","471.916","254"
"555",19821,"Medium","Guyana",328,NA,NA,"Country/Area",931,2050,"939.377","940.607","328"
"556",19898,"Medium","Paraguay",600,NA,NA,"Country/Area",931,2050,"8616.483","8640.464","600"
"557",19975,"Medium","Peru",604,NA,NA,"Country/Area",931,2050,"40515.509","40583.876","604"
"558",20052,"Medium","Suriname",740,NA,NA,"Country/Area",931,2050,"732.936","733.904","740"
"559",20129,"Medium","Uruguay",858,NA,NA,"Country/Area",931,2050,"3259.966","3254.354","858"
"560",20206,"Medium","Venezuela (Bolivarian Republic of)",862,NA,NA,"Country/Area",931,2050,"31077.605","31094.883","862"
"561",20283,"Medium","Northern America",905,NA,NA,"Region",1840,2050,"426070.939","426579.885","905"
"562",20360,"Medium","Bermuda",60,NA,NA,"Country/Area",905,2050,"57.184","56.937","060"
"563",20437,"Medium","Canada",124,NA,NA,"Country/Area",905,2050,"45546.625","45621.882","124"
"564",20514,"Medium","Greenland",304,NA,NA,"Country/Area",905,2050,"50.026","49.898","304"
"565",20591,"Medium","Saint Pierre and Miquelon",666,NA,NA,"Country/Area",905,2050,"4.288","4.258","666"
"566",20668,"Medium","United States of America",840,NA,NA,"Country/Area",905,2050,"380412.816","380846.91","840"
"567",20745,"Medium","Oceania",909,NA,NA,"Region",1840,2050,"57492.006","57688.178","909"
"568",20822,"Medium","Australia/New Zealand",927,NA,NA,"Subregion",909,2050,"38151.734","38262.257","927"
"569",20899,"Medium","Australia",36,NA,NA,"Country/Area",927,2050,"32401.987","32506.969","036"
"570",20976,"Medium","New Zealand",554,NA,NA,"Country/Area",927,2050,"5749.747","5755.288","554"
"571",21053,"Medium","Melanesia",928,NA,NA,"Subregion",909,2050,"18007.425","18090.929","928"
"572",21130,"Medium","Fiji",242,NA,NA,"Country/Area",928,2050,"999.936","1000.261","242"
"573",21207,"Medium","New Caledonia",540,NA,NA,"Country/Area",928,2050,"340.136","340.58","540"
"574",21284,"Medium","Papua New Guinea",598,NA,NA,"Country/Area",928,2050,"14836.287","14906.59","598"
"575",21361,"Medium","Solomon Islands",90,NA,NA,"Country/Area",928,2050,"1300.802","1309.11","090"
"576",21438,"Medium","Vanuatu",548,NA,NA,"Country/Area",928,2050,"530.264","534.388","548"
"577",21515,"Medium","Micronesia",954,NA,NA,"Subregion",909,2050,"598.347","599.723","954"
"578",21592,"Medium","Guam",316,NA,NA,"Country/Area",954,2050,"191.099","191.458","316"
"579",21669,"Medium","Kiribati",296,NA,NA,"Country/Area",954,2050,"181.78","182.621","296"
"580",21746,"Medium","Marshall Islands",584,NA,NA,"Country/Area",954,2050,"25.244","25.195","584"
"581",21823,"Medium","Micronesia (Fed. States of)",583,NA,NA,"Country/Area",954,2050,"126.179","126.408","583"
"582",21900,"Medium","Nauru",520,NA,NA,"Country/Area",954,2050,"15.683","15.758","520"
"583",21977,"Medium","Northern Mariana Islands",580,NA,NA,"Country/Area",954,2050,"42.789","42.764","580"
"584",22054,"Medium","Palau",585,NA,NA,"Country/Area",954,2050,"15.573","15.518","585"
"585",22131,"Medium","Polynesia",957,NA,NA,"Subregion",909,2050,"734.5","735.268","957"
"586",22208,"Medium","American Samoa",16,NA,NA,"Country/Area",957,2050,"37.623","37.545","016"
"587",22285,"Medium","Cook Islands",184,NA,NA,"Country/Area",957,2050,"9.367","9.337","184"
"588",22362,"Medium","French Polynesia",258,NA,NA,"Country/Area",957,2050,"285.207","284.75","258"
"589",22439,"Medium","Niue",570,NA,NA,"Country/Area",957,2050,"1.962","1.966","570"
"590",22516,"Medium","Samoa",882,NA,NA,"Country/Area",957,2050,"271.529","272.726","882"
"591",22593,"Medium","Tokelau",772,NA,NA,"Country/Area",957,2050,"3.81","3.821","772"
"592",22670,"Medium","Tonga",776,NA,NA,"Country/Area",957,2050,"105.077","105.195","776"
"593",22747,"Medium","Tuvalu",798,NA,NA,"Country/Area",957,2050,"9.748","9.781","798"
"594",22824,"Medium","Wallis and Futuna Islands",876,NA,NA,"Country/Area",957,2050,"10.177","10.148","876"
